Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
06/08/2023,16:00,Community Shield,FA Community Shield,Sun,Neutral,D,1 (4),1 (1),Manchester City,,,45,"81,145",Martin Ødegaard,4-3-3,4-2-3-1,Stuart Attwell,Match Report,,06/08/2023,16:00,Community Shield,FA Community Shield,Sun,Neutral,D,1 (4),1 (1),Manchester City,1,7,3,42.9,0.14,0.33,,,0,0,,,,,,Match Report
12/08/2023,12:30,Premier League,Matchweek 1,Sat,Home,W,2,1,Nott'ham Forest,0.8,1.2,78,"59,984",Martin Ødegaard,4-3-3,3-4-3,Michael Oliver,Match Report,,12/08/2023,12:30,Premier League,Matchweek 1,Sat,Home,W,2,1,Nott'ham Forest,2,15,7,46.7,0.13,0.29,19.1,0,0,0,0.8,0.8,0.06,1.2,1.2,Match Report
21/08/2023,20:00,Premier League,Matchweek 2,Mon,Away,W,1,0,Crystal Palace,2,1,53,"24,189",Martin Ødegaard,4-3-3,4-2-3-1,David Coote,Match Report,,21/08/2023,20:00,Premier League,Matchweek 2,Mon,Away,W,1,0,Crystal Palace,1,13,2,15.4,0,0,16.4,0,1,1,2,1.2,0.09,-1,-1.2,Match Report
26/08/2023,15:00,Premier League,Matchweek 3,Sat,Home,D,2,2,Fulham,3.2,0.6,71,"59,961",Martin Ødegaard,4-3-3,4-3-3,Paul Tierney,Match Report,,26/08/2023,15:00,Premier League,Matchweek 3,Sat,Home,D,2,2,Fulham,2,18,9,50,0.06,0.11,13.8,0,1,1,3.2,2.4,0.14,-1.2,-1.4,Match Report
03/09/2023,16:30,Premier League,Matchweek 4,Sun,Home,W,3,1,Manchester Utd,2.3,0.9,55,"60,192",Martin Ødegaard,4-3-3,4-2-3-1,Anthony Taylor,Match Report,,03/09/2023,16:30,Premier League,Matchweek 4,Sun,Home,W,3,1,Manchester Utd,3,17,5,29.4,0.18,0.6,15,0,0,0,2.3,2.3,0.13,0.7,0.7,Match Report
17/09/2023,16:30,Premier League,Matchweek 5,Sun,Away,W,1,0,Everton,1,0.3,74,"39,217",Martin Ødegaard,4-3-3,4-5-1,Simon Hooper,Match Report,,17/09/2023,16:30,Premier League,Matchweek 5,Sun,Away,W,1,0,Everton,1,13,4,30.8,0.08,0.25,17.4,0,0,0,1,1,0.08,0,0,Match Report
20/09/2023,20:00,Champions Lg,Group stage,Wed,Home,W,4,0,nl PSV Eindhoven,2.3,0.5,58,"58,860",Martin Ødegaard,4-3-3,4-2-3-1,Felix Zwayer,Match Report,,20/09/2023,20:00,Champions Lg,Group stage,Wed,Home,W,4,0,nl PSV Eindhoven,4,18,8,44.4,0.22,0.5,14.4,0,0,0,2.3,2.3,0.13,1.7,1.7,Match Report
24/09/2023,14:00,Premier League,Matchweek 6,Sun,Home,D,2,2,Tottenham,1.8,1.4,47,"60,156",Martin Ødegaard,4-3-3,4-2-3-1,Robert Jones,Match Report,,24/09/2023,14:00,Premier League,Matchweek 6,Sun,Home,D,2,2,Tottenham,1,12,4,33.3,0,0,16.9,0,1,1,1.8,1.2,0.1,-0.8,-1.2,Match Report
27/09/2023,19:45,EFL Cup,Third round,Wed,Away,W,1,0,Brentford,,,60,"16,688",Jorginho,4-3-3,3-5-2,Darren Bond,Match Report,,27/09/2023,19:45,EFL Cup,Third round,Wed,Away,W,1,0,Brentford,1,10,3,30,0.1,0.33,,,0,0,,,,,,Match Report
30/09/2023,15:00,Premier League,Matchweek 7,Sat,Away,W,4,0,Bournemouth,3.4,0.6,57,"11,193",Martin Ødegaard,4-3-3,4-2-3-1,Michael Salisbury,Match Report,,30/09/2023,15:00,Premier League,Matchweek 7,Sat,Away,W,4,0,Bournemouth,4,13,6,46.2,0.15,0.33,15.5,0,2,2,3.4,1.9,0.14,0.6,0.1,Match Report
03/10/2023,21:00 (20:00),Champions Lg,Group stage,Tue,Away,L,1,2,fr Lens,1.5,0.7,66,"37,040",Martin Ødegaard,4-3-3,3-4-3,Marco Guida,Match Report,,03/10/2023,21:00 (20:00),Champions Lg,Group stage,Tue,Away,L,1,2,fr Lens,1,11,6,54.5,0.09,0.17,11.8,0,0,0,1.5,1.5,0.14,-0.5,-0.5,Match Report
08/10/2023,16:30,Premier League,Matchweek 8,Sun,Home,W,1,0,Manchester City,0.4,0.5,49,"60,233",Martin Ødegaard,4-3-3,4-3-3,Michael Oliver,Match Report,,08/10/2023,16:30,Premier League,Matchweek 8,Sun,Home,W,1,0,Manchester City,1,12,2,16.7,0.08,0.5,19.2,0,0,0,0.4,0.4,0.03,0.6,0.6,Match Report
21/10/2023,17:30,Premier League,Matchweek 9,Sat,Away,D,2,2,Chelsea,1,1.3,56,"39,723",Martin Ødegaard,4-3-3,4-2-3-1,Chris Kavanagh,Match Report,,21/10/2023,17:30,Premier League,Matchweek 9,Sat,Away,D,2,2,Chelsea,2,13,3,23.1,0.15,0.67,14.3,0,0,0,1,1,0.08,1,1,Match Report
24/10/2023,21:00 (20:00),Champions Lg,Group stage,Tue,Away,W,2,1,es Sevilla,1.9,0.8,43,"39,595",Martin Ødegaard,4-3-3,4-2-3-1,Glenn Nyberg,Match Report,,24/10/2023,21:00 (20:00),Champions Lg,Group stage,Tue,Away,W,2,1,es Sevilla,2,14,4,28.6,0.14,0.5,16.4,0,0,0,1.9,1.9,0.14,0.1,0.1,Match Report
28/10/2023,15:00,Premier League,Matchweek 10,Sat,Home,W,5,0,Sheffield Utd,2.8,0,67,"60,153",Bukayo Saka,4-3-3,4-4-2,Tim Robinson,Match Report,,28/10/2023,15:00,Premier League,Matchweek 10,Sat,Home,W,5,0,Sheffield Utd,5,12,6,50,0.33,0.67,17,0,1,1,2.8,2,0.17,2.2,2,Match Report
01/11/2023,19:30,EFL Cup,Fourth round,Wed,Away,L,1,3,West Ham,,,72,"62,154",Jorginho,4-3-3,4-2-3-1,Simon Hooper,Match Report,,01/11/2023,19:30,EFL Cup,Fourth round,Wed,Away,L,1,3,West Ham,1,14,3,21.4,0.07,0.33,,,0,0,,,,,,Match Report
04/11/2023,17:30,Premier League,Matchweek 11,Sat,Away,L,0,1,Newcastle Utd,0.6,1,58,"52,194",Jorginho,4-3-3,4-3-3,Stuart Attwell,Match Report,,04/11/2023,17:30,Premier League,Matchweek 11,Sat,Away,L,0,1,Newcastle Utd,0,14,1,7.1,0,0,20.7,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Match Report
08/11/2023,20:00,Champions Lg,Group stage,Wed,Home,W,2,0,es Sevilla,1.5,0,62,"60,024",Jorginho,4-3-3,4-2-3-1,István Kovács,Match Report,,08/11/2023,20:00,Champions Lg,Group stage,Wed,Home,W,2,0,es Sevilla,2,11,3,27.3,0.18,0.67,16.3,1,0,0,1.5,1.5,0.14,0.5,0.5,Match Report
11/11/2023,15:00,Premier League,Matchweek 12,Sat,Home,W,3,1,Burnley,1.8,0.3,63,"60,232",Jorginho,4-3-3,4-4-2,Michael Oliver,Match Report,,11/11/2023,15:00,Premier League,Matchweek 12,Sat,Home,W,3,1,Burnley,3,16,6,37.5,0.19,0.5,13.8,0,0,0,1.8,1.8,0.12,1.2,1.2,Match Report
25/11/2023,17:30,Premier League,Matchweek 13,Sat,Away,W,1,0,Brentford,1.6,1.1,63,"17,201",Martin Ødegaard,4-3-3,5-3-2,Tim Robinson,Match Report,,25/11/2023,17:30,Premier League,Matchweek 13,Sat,Away,W,1,0,Brentford,1,15,4,26.7,0.07,0.25,15.2,0,0,0,1.6,1.6,0.11,-0.6,-0.6,Match Report
29/11/2023,20:00,Champions Lg,Group stage,Wed,Home,W,6,0,fr Lens,2.6,0.4,48,"59,987",Martin Ødegaard,4-3-3,3-4-3,Artur Soares Dias,Match Report,,29/11/2023,20:00,Champions Lg,Group stage,Wed,Home,W,6,0,fr Lens,6,13,7,53.8,0.38,0.71,14.8,0,1,1,2.6,1.8,0.14,3.4,3.2,Match Report
02/12/2023,15:00,Premier League,Matchweek 14,Sat,Home,W,2,1,Wolves,2.8,0.7,57,"60,262",Martin Ødegaard,4-3-3,3-5-2,Peter Bankes,Match Report,,02/12/2023,15:00,Premier League,Matchweek 14,Sat,Home,W,2,1,Wolves,2,19,6,31.6,0.11,0.33,15.6,0,0,0,2.8,2.8,0.15,-0.8,-0.8,Match Report
05/12/2023,20:15,Premier League,Matchweek 15,Tue,Away,W,4,3,Luton Town,2.2,0.5,66,"11,031",Martin Ødegaard,4-3-3,3-4-3,Samuel Barrott,Match Report,,05/12/2023,20:15,Premier League,Matchweek 15,Tue,Away,W,4,3,Luton Town,4,23,9,39.1,0.17,0.44,15.5,0,0,0,2.2,2.2,0.1,1.8,1.8,Match Report
09/12/2023,17:30,Premier League,Matchweek 16,Sat,Away,L,0,1,Aston Villa,1.4,0.6,61,"42,000",Martin Ødegaard,4-3-3,4-4-1-1,Jarred Gillett,Match Report,,09/12/2023,17:30,Premier League,Matchweek 16,Sat,Away,L,0,1,Aston Villa,0,12,3,25,0,0,14.8,1,0,0,1.4,1.4,0.12,-1.4,-1.4,Match Report
