Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
12/08/2023,17:30,Premier League,Matchweek 1,Sat,Away,L,1,5,Newcastle Utd,1.8,3.3,48,"52,207",John McGinn,4-2-3-1,4-3-3,Andy Madley,Match Report,,12/08/2023,17:30,Premier League,Matchweek 1,Sat,Away,L,1,5,Newcastle Utd,1,16,6,37.5,0.06,0.17,14.5,1,0,0,1.8,1.8,0.12,-0.8,-0.8,Match Report
20/08/2023,14:00,Premier League,Matchweek 2,Sun,Home,W,4,0,Everton,2.9,0.6,60,"41,694",John McGinn,4-2-3-1,4-1-4-1,Anthony Taylor,Match Report,,20/08/2023,14:00,Premier League,Matchweek 2,Sun,Home,W,4,0,Everton,4,12,6,50,0.25,0.5,18.5,0,1,1,2.9,2.2,0.18,1.1,0.8,Match Report
23/08/2023,17:45,Conf Lg,Play-off round,Wed,Away,W,5,0,sct Hibernian,,,,"19,306",John McGinn,4-1-4-1,3-4-1-2,Ricardo de Burgos,Match Report,Leg 1 of 2,23/08/2023,17:45,Conf Lg,Play-off round,Wed,Away,W,5,0,sct Hibernian,5,,,,,,,,1,1,,,,,,Match Report
27/08/2023,14:00,Premier League,Matchweek 3,Sun,Away,W,3,1,Burnley,2.5,0.7,43,"21,591",John McGinn,3-4-3,4-4-2,Michael Salisbury,Match Report,,27/08/2023,14:00,Premier League,Matchweek 3,Sun,Away,W,3,1,Burnley,3,16,6,37.5,0.19,0.5,13.4,0,0,0,2.5,2.5,0.17,0.5,0.5,Match Report
31/08/2023,20:00,Conf Lg,Play-off round,Thu,Home,W,3,0,sct Hibernian,,,,"39,467",Douglas Luiz,4-4-2,4-4-2,Luca Pairetto,Match Report,Leg 2 of 2; Aston Villa won,31/08/2023,20:00,Conf Lg,Play-off round,Thu,Home,W,3,0,sct Hibernian,3,,,,,,,,0,0,,,,,,Match Report
03/09/2023,14:00,Premier League,Matchweek 4,Sun,Away,L,0,3,Liverpool,0.7,2.5,37,"50,109",John McGinn,4-4-2,4-3-3,Simon Hooper,Match Report,,03/09/2023,14:00,Premier League,Matchweek 4,Sun,Away,L,0,3,Liverpool,0,9,3,33.3,0,0,12.5,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Match Report
16/09/2023,15:00,Premier League,Matchweek 5,Sat,Home,W,3,1,Crystal Palace,3,1.2,66,"40,809",John McGinn,4-2-3-1,4-4-1-1,Darren England,Match Report,,16/09/2023,15:00,Premier League,Matchweek 5,Sat,Home,W,3,1,Crystal Palace,3,15,4,26.7,0.13,0.5,16.2,0,1,1,3,2.3,0.16,0,-0.3,Match Report
21/09/2023,18:45 (17:45),Conf Lg,Group stage,Thu,Away,L,2,3,pl Legia Warsaw,1.5,1.7,60,"27,801",John McGinn,4-2-3-1,3-4-3,Evangelos Manouhos,Match Report,,21/09/2023,18:45 (17:45),Conf Lg,Group stage,Thu,Away,L,2,3,pl Legia Warsaw,2,19,6,31.6,0.11,0.33,19.5,0,0,0,1.5,1.5,0.08,0.5,0.5,Match Report
24/09/2023,14:00,Premier League,Matchweek 6,Sun,Away,W,1,0,Chelsea,1,1.3,47,"39,700",John McGinn,4-2-3-1,4-2-3-1,Jarred Gillett,Match Report,,24/09/2023,14:00,Premier League,Matchweek 6,Sun,Away,W,1,0,Chelsea,1,15,7,46.7,0.07,0.14,18.2,1,0,0,1,1,0.07,0,0,Match Report
27/09/2023,19:45,EFL Cup,Third round,Wed,Home,L,1,2,Everton,,,68,"23,851",John McGinn,4-2-3-1,3-4-3,Tony Harrington,Match Report,,27/09/2023,19:45,EFL Cup,Third round,Wed,Home,L,1,2,Everton,1,11,3,27.3,0.09,0.33,,,0,0,,,,,,Match Report
30/09/2023,12:30,Premier League,Matchweek 7,Sat,Home,W,6,1,Brighton,1.6,1.7,39,"40,636",John McGinn,4-2-3-1,4-2-3-1,Andy Madley,Match Report,,30/09/2023,12:30,Premier League,Matchweek 7,Sat,Home,W,6,1,Brighton,5,19,9,47.4,0.26,0.56,17.9,1,0,0,1.6,1.6,0.09,3.4,3.4,Match Report
05/10/2023,20:00,Conf Lg,Group stage,Thu,Home,W,1,0,ba Zrinjski Mostar,1.7,0.5,74,"37,327",John McGinn,4-4-2,5-4-1,Urs Schnyder,Match Report,,05/10/2023,20:00,Conf Lg,Group stage,Thu,Home,W,1,0,ba Zrinjski Mostar,1,27,9,33.3,0.04,0.11,16.3,0,0,0,1.7,1.7,0.06,-0.7,-0.7,Match Report
08/10/2023,14:00,Premier League,Matchweek 8,Sun,Away,D,1,1,Wolves,1.6,1.7,53,"31,425",John McGinn,4-4-2,3-4-3,Robert Jones,Match Report,,08/10/2023,14:00,Premier League,Matchweek 8,Sun,Away,D,1,1,Wolves,1,18,4,22.2,0.06,0.25,16.6,0,0,0,1.6,1.6,0.09,-0.6,-0.6,Match Report
22/10/2023,16:30,Premier League,Matchweek 9,Sun,Home,W,4,1,West Ham,1.9,1.1,58,"41,734",John McGinn,4-4-2,4-2-3-1,David Coote,Match Report,,22/10/2023,16:30,Premier League,Matchweek 9,Sun,Home,W,4,1,West Ham,4,14,6,42.9,0.21,0.5,19.6,0,1,1,1.9,1.1,0.08,2.1,1.9,Match Report
26/10/2023,18:45 (17:45),Conf Lg,Group stage,Thu,Away,W,4,1,nl AZ Alkmaar,1.2,0.5,52,"16,633",John McGinn,4-4-2,4-3-3,Sven Jablonski,Match Report,,26/10/2023,18:45 (17:45),Conf Lg,Group stage,Thu,Away,W,4,1,nl AZ Alkmaar,4,5,5,100,0.8,0.8,10.7,0,0,0,1.2,1.2,0.32,2.8,2.8,Match Report
29/10/2023,14:00,Premier League,Matchweek 10,Sun,Home,W,3,1,Luton Town,2.3,0.5,70,"41,785",John McGinn,4-4-2,3-4-3,John Brooks,Match Report,,29/10/2023,14:00,Premier League,Matchweek 10,Sun,Home,W,3,1,Luton Town,2,17,6,35.3,0.12,0.33,14.5,0,0,0,2.3,2.3,0.14,-0.3,-0.3,Match Report
05/11/2023,14:00,Premier League,Matchweek 11,Sun,Away,L,0,2,Nott'ham Forest,1.2,0.4,73,"29,313",John McGinn,4-4-2,4-3-3,Jarred Gillett,Match Report,,05/11/2023,14:00,Premier League,Matchweek 11,Sun,Away,L,0,2,Nott'ham Forest,0,13,3,23.1,0,0,14,0,0,0,1.2,1.2,0.09,-1.2,-1.2,Match Report
09/11/2023,20:00,Conf Lg,Group stage,Thu,Home,W,2,1,nl AZ Alkmaar,1.4,0.7,62,"35,156",John McGinn,4-2-3-1,4-3-3,Luís Godinho,Match Report,,09/11/2023,20:00,Conf Lg,Group stage,Thu,Home,W,2,1,nl AZ Alkmaar,2,12,5,41.7,0.17,0.4,15.9,0,0,0,1.4,1.4,0.12,0.6,0.6,Match Report
12/11/2023,14:00,Premier League,Matchweek 12,Sun,Home,W,3,1,Fulham,3,0.9,51,"41,608",John McGinn,4-2-2-2,4-2-3-1,Simon Hooper,Match Report,,12/11/2023,14:00,Premier League,Matchweek 12,Sun,Home,W,3,1,Fulham,2,12,6,50,0.17,0.33,13.5,0,0,0,3,3,0.26,-1,-1,Match Report
26/11/2023,14:00,Premier League,Matchweek 13,Sun,Away,W,2,1,Tottenham,1.7,2.3,38,"61,679",John McGinn,4-4-2,4-2-3-1,Robert Jones,Match Report,,26/11/2023,14:00,Premier League,Matchweek 13,Sun,Away,W,2,1,Tottenham,2,15,5,33.3,0.13,0.4,16.6,1,0,0,1.7,1.7,0.12,0.3,0.3,Match Report
30/11/2023,20:00,Conf Lg,Group stage,Thu,Home,W,2,1,pl Legia Warsaw,1.5,0.3,67,"37,866",John McGinn,4-4-2,3-4-3,Marco Di Bello,Match Report,,30/11/2023,20:00,Conf Lg,Group stage,Thu,Home,W,2,1,pl Legia Warsaw,2,12,5,41.7,0.17,0.4,19,0,0,0,1.5,1.5,0.12,0.5,0.5,Match Report
