Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
13/08/2023,14:00,Premier League,Matchweek 1,Sun,Away,D,2,2,Brentford,1.3,2.2,69,"17,066",Son Heung-min,4-2-3-1,5-3-2,Robert Jones,Match Report,,13/08/2023,14:00,Premier League,Matchweek 1,Sun,Away,D,2,2,Brentford,2,18,6,33.3,0.11,0.33,19.6,0,0,0,1.3,1.3,0.07,0.7,0.7,Match Report
19/08/2023,17:30,Premier League,Matchweek 2,Sat,Home,W,2,0,Manchester Utd,1.7,2.1,55,"61,910",Son Heung-min,4-2-3-1,4-2-3-1,Michael Oliver,Match Report,,19/08/2023,17:30,Premier League,Matchweek 2,Sat,Home,W,2,0,Manchester Utd,1,17,6,35.3,0.06,0.17,13.8,0,0,0,1.7,1.7,0.1,-0.7,-0.7,Match Report
26/08/2023,12:30,Premier League,Matchweek 3,Sat,Away,W,2,0,Bournemouth,2.1,0.7,56,"10,567",Son Heung-min,4-2-3-1,4-2-3-1,Tim Robinson,Match Report,,26/08/2023,12:30,Premier League,Matchweek 3,Sat,Away,W,2,0,Bournemouth,2,17,6,35.3,0.12,0.33,16.6,1,0,0,2.1,2.1,0.12,-0.1,-0.1,Match Report
29/08/2023,19:45,EFL Cup,Second round,Tue,Away,D,1 (3),1 (5),Fulham,,,60,"21,043",Ben Davies,4-4-1-1,4-2-3-1,Joshua Smith,Match Report,Fulham won on penalty kicks following extra time,29/08/2023,19:45,EFL Cup,Second round,Tue,Away,D,1 (3),1 (5),Fulham,1,10,3,30,0.1,0.33,,,0,0,,,,,,Match Report
02/09/2023,15:00,Premier League,Matchweek 4,Sat,Away,W,5,2,Burnley,2.2,1.3,53,"21,750",Son Heung-min,4-2-3-1,4-4-2,Darren England,Match Report,,02/09/2023,15:00,Premier League,Matchweek 4,Sat,Away,W,5,2,Burnley,5,21,11,52.4,0.24,0.45,19.3,0,0,0,2.2,2.2,0.11,2.8,2.8,Match Report
16/09/2023,15:00,Premier League,Matchweek 5,Sat,Home,W,2,1,Sheffield Utd,2.1,0.7,70,"61,706",Son Heung-min,4-2-3-1,3-5-2,Peter Bankes,Match Report,,16/09/2023,15:00,Premier League,Matchweek 5,Sat,Home,W,2,1,Sheffield Utd,2,28,10,35.7,0.07,0.2,16.4,0,0,0,2.1,2.1,0.08,-0.1,-0.1,Match Report
24/09/2023,14:00,Premier League,Matchweek 6,Sun,Away,D,2,2,Arsenal,1.4,1.8,53,"60,156",Son Heung-min,4-2-3-1,4-3-3,Robert Jones,Match Report,,24/09/2023,14:00,Premier League,Matchweek 6,Sun,Away,D,2,2,Arsenal,2,13,5,38.5,0.15,0.4,16,0,0,0,1.4,1.4,0.11,0.6,0.6,Match Report
30/09/2023,17:30,Premier League,Matchweek 7,Sat,Home,W,2,1,Liverpool,2.2,1.3,64,"62,001",Son Heung-min,4-2-3-1,4-3-3,Simon Hooper,Match Report,,30/09/2023,17:30,Premier League,Matchweek 7,Sat,Home,W,2,1,Liverpool,1,24,8,33.3,0.04,0.13,19.8,0,0,0,2.2,2.2,0.09,-1.2,-1.2,Match Report
07/10/2023,12:30,Premier League,Matchweek 8,Sat,Away,W,1,0,Luton Town,1.9,0.8,66,"10,290",Son Heung-min,4-2-3-1,4-4-2,John Brooks,Match Report,,07/10/2023,12:30,Premier League,Matchweek 8,Sat,Away,W,1,0,Luton Town,1,15,4,26.7,0.07,0.25,16.9,1,0,0,1.9,1.9,0.13,-0.9,-0.9,Match Report
23/10/2023,20:00,Premier League,Matchweek 9,Mon,Home,W,2,0,Fulham,1.5,1,55,"61,286",Son Heung-min,4-2-3-1,4-2-3-1,Anthony Taylor,Match Report,,23/10/2023,20:00,Premier League,Matchweek 9,Mon,Home,W,2,0,Fulham,2,15,5,33.3,0.13,0.4,17.2,0,0,0,1.5,1.5,0.1,0.5,0.5,Match Report
