Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
14/08/2023,20:00,Premier League,Matchweek 1,Mon,Home,W,1,0,Wolves,2.2,2.2,51,"73,358",Bruno Fernandes,4-1-4-1,4-4-2,Simon Hooper,Match Report,,14/08/2023,20:00,Premier League,Matchweek 1,Mon,Home,W,1,0,Wolves,1,15,2,13.3,0.07,0.5,14.7,0,0,0,2.2,2.2,0.15,-1.2,-1.2,Match Report
19/08/2023,17:30,Premier League,Matchweek 2,Sat,Away,L,0,2,Tottenham,2.1,1.7,45,"61,910",Bruno Fernandes,4-2-3-1,4-2-3-1,Michael Oliver,Match Report,,19/08/2023,17:30,Premier League,Matchweek 2,Sat,Away,L,0,2,Tottenham,0,22,6,27.3,0,0,15.6,1,0,0,2.1,2.1,0.09,-2.1,-2.1,Match Report
26/08/2023,15:00,Premier League,Matchweek 3,Sat,Home,W,3,2,Nott'ham Forest,2.8,1.2,66,"73,595",Bruno Fernandes,4-2-3-1,3-4-3,Stuart Attwell,Match Report,,26/08/2023,15:00,Premier League,Matchweek 3,Sat,Home,W,3,2,Nott'ham Forest,3,17,8,47.1,0.12,0.25,20.3,0,1,1,2.8,2,0.12,0.2,0,Match Report
03/09/2023,16:30,Premier League,Matchweek 4,Sun,Away,L,1,3,Arsenal,0.9,2.3,45,"60,192",Bruno Fernandes,4-2-3-1,4-3-3,Anthony Taylor,Match Report,,03/09/2023,16:30,Premier League,Matchweek 4,Sun,Away,L,1,3,Arsenal,1,10,2,20,0.1,0.5,16.5,0,0,0,0.9,0.9,0.09,0.1,0.1,Match Report
16/09/2023,15:00,Premier League,Matchweek 5,Sat,Home,L,1,3,Brighton,1,1.7,44,"73,592",Bruno Fernandes,4-1-2-1-2,4-2-3-1,Jarred Gillett,Match Report,,16/09/2023,15:00,Premier League,Matchweek 5,Sat,Home,L,1,3,Brighton,1,14,4,28.6,0.07,0.25,18.6,1,0,0,1,1,0.07,0,0,Match Report
20/09/2023,21:00 (20:00),Champions Lg,Group stage,Wed,Away,L,3,4,de Bayern Munich,1.7,2.2,41,"75,000",Bruno Fernandes,4-2-3-1,4-2-3-1,Glenn Nyberg,Match Report,,20/09/2023,21:00 (20:00),Champions Lg,Group stage,Wed,Away,L,3,4,de Bayern Munich,3,9,4,44.4,0.33,0.75,11.3,0,0,0,1.7,1.7,0.19,1.3,1.3,Match Report
23/09/2023,20:00,Premier League,Matchweek 6,Sat,Away,W,1,0,Burnley,1,1.1,39,"21,593",Bruno Fernandes,4-2-3-1,4-3-3,Tony Harrington,Match Report,,23/09/2023,20:00,Premier League,Matchweek 6,Sat,Away,W,1,0,Burnley,1,11,4,36.4,0.09,0.25,15,0,0,0,1,1,0.09,0,0,Match Report
26/09/2023,20:00,EFL Cup,Third round,Tue,Home,W,3,0,Crystal Palace,,,69,"72,842",Raphaël Varane,4-2-3-1,4-2-3-1,Michael Salisbury,Match Report,,26/09/2023,20:00,EFL Cup,Third round,Tue,Home,W,3,0,Crystal Palace,3,14,7,50,0.21,0.43,,,0,0,,,,,,Match Report
30/09/2023,15:00,Premier League,Matchweek 7,Sat,Home,L,0,1,Crystal Palace,1.3,0.9,77,"73,428",Bruno Fernandes,4-2-3-1,4-3-3,Chris Kavanagh,Match Report,,30/09/2023,15:00,Premier League,Matchweek 7,Sat,Home,L,0,1,Crystal Palace,0,19,3,15.8,0,0,15.5,0,0,0,1.3,1.3,0.07,-1.3,-1.3,Match Report
03/10/2023,20:00,Champions Lg,Group stage,Tue,Home,L,2,3,tr Galatasaray,2.3,2.6,55,"73,204",Bruno Fernandes,4-3-3,4-2-3-1,Ivan Kružliak,Match Report,,03/10/2023,20:00,Champions Lg,Group stage,Tue,Home,L,2,3,tr Galatasaray,2,16,5,31.3,0.13,0.4,16.5,1,0,0,2.3,2.3,0.14,-0.3,-0.3,Match Report
