Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
12/08/2023,15:00,Premier League,Matchweek 1,Sat,Away,D,1,1,Bournemouth,1.1,1.3,38,"11,245",Kurt Zouma,4-2-3-1,4-2-3-1,Peter Bankes,Match Report,,12/08/2023,15:00,Premier League,Matchweek 1,Sat,Away,D,1,1,Bournemouth,1,16,2,12.5,0.06,0.5,16.1,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Match Report
20/08/2023,16:30,Premier League,Matchweek 2,Sun,Home,W,3,1,Chelsea,1.8,2.5,25,"62,451",Kurt Zouma,4-2-3-1,3-4-3,John Brooks,Match Report,,20/08/2023,16:30,Premier League,Matchweek 2,Sun,Home,W,3,1,Chelsea,3,11,5,45.5,0.18,0.4,19.6,0,1,1,1.8,1,0.09,1.2,1,Match Report
26/08/2023,17:30,Premier League,Matchweek 3,Sat,Away,W,3,1,Brighton,3,1.5,22,"31,508",Kurt Zouma,4-1-4-1,4-2-3-1,Anthony Taylor,Match Report,,26/08/2023,17:30,Premier League,Matchweek 3,Sat,Away,W,3,1,Brighton,3,12,7,58.3,0.25,0.43,12.3,0,0,0,3,3,0.27,0,0,Match Report
01/09/2023,20:00,Premier League,Matchweek 4,Fri,Away,W,2,1,Luton Town,1,1.4,61,"10,802",Kurt Zouma,4-2-3-1,5-3-2,Paul Tierney,Match Report,,01/09/2023,20:00,Premier League,Matchweek 4,Fri,Away,W,2,1,Luton Town,2,9,3,33.3,0.22,0.67,16.3,0,0,0,1,1,0.11,1,1,Match Report
16/09/2023,15:00,Premier League,Matchweek 5,Sat,Home,L,1,3,Manchester City,0.9,3.6,32,"62,475",Kurt Zouma,4-2-3-1,4-2-3-1,Andy Madley,Match Report,,16/09/2023,15:00,Premier League,Matchweek 5,Sat,Home,L,1,3,Manchester City,1,6,3,50,0.17,0.33,12.1,0,0,0,0.9,0.9,0.16,0.1,0.1,Match Report
21/09/2023,20:00,Europa Lg,Group stage,Thu,Home,W,3,1,rs TSC,2.2,0.5,71,"41,374",Angelo Ogbonna,4-2-3-1,5-3-2,Filip Glova,Match Report,,21/09/2023,20:00,Europa Lg,Group stage,Thu,Home,W,3,1,rs TSC,3,24,8,33.3,0.13,0.38,15.2,1,0,0,2.2,2.2,0.09,0.8,0.8,Match Report
24/09/2023,14:00,Premier League,Matchweek 6,Sun,Away,L,1,3,Liverpool,1.1,3,37,"50,136",Kurt Zouma,4-2-3-1,4-3-3,Chris Kavanagh,Match Report,,24/09/2023,14:00,Premier League,Matchweek 6,Sun,Away,L,1,3,Liverpool,1,11,4,36.4,0.09,0.25,13.5,0,0,0,1.1,1.1,0.1,-0.1,-0.1,Match Report
27/09/2023,19:45,EFL Cup,Third round,Wed,Away,W,1,0,Lincoln City,,,74,"10,168",Angelo Ogbonna,4-2-3-1,3-4-3,Joshua Smith,Match Report,,27/09/2023,19:45,EFL Cup,Third round,Wed,Away,W,1,0,Lincoln City,1,14,3,21.4,0.07,0.33,,,0,0,,,,,,Match Report
30/09/2023,15:00,Premier League,Matchweek 7,Sat,Home,W,2,0,Sheffield Utd,2.1,1.1,52,"62,459",Kurt Zouma,4-2-3-1,3-5-2,Graham Scott,Match Report,,30/09/2023,15:00,Premier League,Matchweek 7,Sat,Home,W,2,0,Sheffield Utd,2,20,8,40,0.1,0.25,12.6,1,0,0,2.1,2.1,0.11,-0.1,-0.1,Match Report
05/10/2023,18:45 (17:45),Europa Lg,Group stage,Thu,Away,W,2,1,de Freiburg,1,1.5,45,"34,100",?ukasz Fabia?ski,4-2-3-1,4-4-2,Mohammed Al Hakim,Match Report,,05/10/2023,18:45 (17:45),Europa Lg,Group stage,Thu,Away,W,2,1,de Freiburg,2,11,5,45.5,0.18,0.4,13.1,0,0,0,1,1,0.1,1,1,Match Report
