Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
12/08/2023,15:00,Premier League,Matchweek 1,Sat,Away,W,1,0,Sheffield Utd,1.9,0.5,68,"31,194",Joel Ward,4-2-3-1,3-4-3,John Brooks,Match Report,,12/08/2023,15:00,Premier League,Matchweek 1,Sat,Away,W,1,0,Sheffield Utd,1,24,8,33.3,0.04,0.13,18.5,1,0,0,1.9,1.9,0.08,-0.9,-0.9,Match Report
21/08/2023,20:00,Premier League,Matchweek 2,Mon,Home,L,0,1,Arsenal,1,2,47,"24,189",Joel Ward,4-2-3-1,4-3-3,David Coote,Match Report,,21/08/2023,20:00,Premier League,Matchweek 2,Mon,Home,L,0,1,Arsenal,0,14,2,14.3,0,0,16.4,1,0,0,1,1,0.07,-1,-1,Match Report
26/08/2023,15:00,Premier League,Matchweek 3,Sat,Away,D,1,1,Brentford,0.8,1,40,"16,997",Joel Ward,4-2-3-1,4-3-3,Peter Bankes,Match Report,,26/08/2023,15:00,Premier League,Matchweek 3,Sat,Away,D,1,1,Brentford,1,15,5,33.3,0.07,0.2,16.9,1,0,0,0.8,0.8,0.05,0.2,0.2,Match Report
29/08/2023,19:45,EFL Cup,Second round,Tue,Away,W,4,2,Plymouth Argyle,,,48,"15,826",James Tomkins,4-4-2,4-4-2,Dean Whitestone,Match Report,,29/08/2023,19:45,EFL Cup,Second round,Tue,Away,W,4,2,Plymouth Argyle,4,16,5,31.3,0.25,0.8,,,0,0,,,,,,Match Report
03/09/2023,14:00,Premier League,Matchweek 4,Sun,Home,W,3,2,Wolves,2.1,1.2,43,"24,741",Joel Ward,4-3-3,4-4-2,Robert Jones,Match Report,,03/09/2023,14:00,Premier League,Matchweek 4,Sun,Home,W,3,2,Wolves,3,16,10,62.5,0.19,0.3,13.8,1,0,0,2.1,2.1,0.13,0.9,0.9,Match Report
16/09/2023,15:00,Premier League,Matchweek 5,Sat,Away,L,1,3,Aston Villa,1.2,3,34,"40,809",Joel Ward,4-4-1-1,4-2-3-1,Darren England,Match Report,,16/09/2023,15:00,Premier League,Matchweek 5,Sat,Away,L,1,3,Aston Villa,1,6,3,50,0.17,0.33,16.1,0,0,0,1.2,1.2,0.2,-0.2,-0.2,Match Report
23/09/2023,15:00,Premier League,Matchweek 6,Sat,Home,D,0,0,Fulham,0.3,0.6,51,"25,072",Joel Ward,4-2-3-1,4-3-3,Paul Tierney,Match Report,,23/09/2023,15:00,Premier League,Matchweek 6,Sat,Home,D,0,0,Fulham,0,7,3,42.9,0,0,18.9,1,0,0,0.3,0.3,0.04,-0.3,-0.3,Match Report
26/09/2023,20:00,EFL Cup,Third round,Tue,Away,L,0,3,Manchester Utd,,,31,"72,842",Jordan Ayew,4-2-3-1,4-2-3-1,Michael Salisbury,Match Report,,26/09/2023,20:00,EFL Cup,Third round,Tue,Away,L,0,3,Manchester Utd,0,4,2,50,0,0,,,0,0,,,,,,Match Report
30/09/2023,15:00,Premier League,Matchweek 7,Sat,Away,W,1,0,Manchester Utd,0.9,1.3,23,"73,428",Joel Ward,4-3-3,4-2-3-1,Chris Kavanagh,Match Report,,30/09/2023,15:00,Premier League,Matchweek 7,Sat,Away,W,1,0,Manchester Utd,1,8,2,25,0.13,0.5,13.5,0,0,0,0.9,0.9,0.11,0.1,0.1,Match Report
07/10/2023,17:30,Premier League,Matchweek 8,Sat,Home,D,0,0,Nott'ham Forest,0.8,1,52,"25,017",Marc Guéhi,4-3-3,4-3-3,Craig Pawson,Match Report,,07/10/2023,17:30,Premier League,Matchweek 8,Sat,Home,D,0,0,Nott'ham Forest,0,8,2,25,0,0,15.2,0,0,0,0.8,0.8,0.1,-0.8,-0.8,Match Report
