Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
12/08/2023,15:00,Premier League,Matchweek 1,Sat,Home,W,4,1,Luton Town,4,1.5,70,"31,872",Lewis Dunk,4-2-3-1,3-5-2,David Coote,Match Report,,12/08/2023,15:00,Premier League,Matchweek 1,Sat,Home,W,4,1,Luton Town,4,26,11,42.3,0.12,0.27,17,0,1,1,4,3.2,0.12,0,-0.2,Match Report
19/08/2023,15:00,Premier League,Matchweek 2,Sat,Away,W,4,1,Wolves,2.2,2.1,53,"31,317",Lewis Dunk,4-2-3-1,4-4-1-1,Andy Madley,Match Report,,19/08/2023,15:00,Premier League,Matchweek 2,Sat,Away,W,4,1,Wolves,4,16,8,50,0.25,0.5,15.6,0,0,0,2.2,2.2,0.14,1.8,1.8,Match Report
26/08/2023,17:30,Premier League,Matchweek 3,Sat,Home,L,1,3,West Ham,1.5,3,78,"31,508",Lewis Dunk,4-2-3-1,4-1-4-1,Anthony Taylor,Match Report,,26/08/2023,17:30,Premier League,Matchweek 3,Sat,Home,L,1,3,West Ham,1,25,10,40,0.04,0.1,19.5,1,0,0,1.5,1.5,0.06,-0.5,-0.5,Match Report
02/09/2023,17:30,Premier League,Matchweek 4,Sat,Home,W,3,1,Newcastle Utd,1.3,1.2,56,"31,620",Lewis Dunk,4-2-3-1,4-3-3,Stuart Attwell,Match Report,,02/09/2023,17:30,Premier League,Matchweek 4,Sat,Home,W,3,1,Newcastle Utd,3,15,6,40,0.2,0.5,17.3,0,0,0,1.3,1.3,0.09,1.7,1.7,Match Report
16/09/2023,15:00,Premier League,Matchweek 5,Sat,Away,W,3,1,Manchester Utd,1.7,1,56,"73,592",Lewis Dunk,4-2-3-1,4-1-2-1-2,Jarred Gillett,Match Report,,16/09/2023,15:00,Premier League,Matchweek 5,Sat,Away,W,3,1,Manchester Utd,3,10,8,80,0.3,0.38,17.1,0,0,0,1.7,1.7,0.17,1.3,1.3,Match Report
21/09/2023,20:00,Europa Lg,Group stage,Thu,Home,L,2,3,gr†AEK Athens,2.7,1.3,75,"30,178",Pascal Groﬂ,4-2-3-1,4-1-4-1,Kristo Tohver,Match Report,,21/09/2023,20:00,Europa Lg,Group stage,Thu,Home,L,2,3,gr†AEK Athens,2,13,5,38.5,0,0,19.1,1,2,2,2.7,1.1,0.08,-0.7,-1.1,Match Report
24/09/2023,14:00,Premier League,Matchweek 6,Sun,Home,W,3,1,Bournemouth,1.9,1.1,61,"31,617",Lewis Dunk,4-2-3-1,4-2-3-1,John Brooks,Match Report,,24/09/2023,14:00,Premier League,Matchweek 6,Sun,Home,W,3,1,Bournemouth,2,13,4,30.8,0.15,0.5,17.1,0,0,0,1.9,1.9,0.14,0.1,0.1,Match Report
27/09/2023,19:45,EFL Cup,Third round,Wed,Away,L,0,1,Chelsea,,,61,"37,516",Pervis EstupiÒ·n,4-2-3-1,4-2-3-1,Thomas Bramall,Match Report,,27/09/2023,19:45,EFL Cup,Third round,Wed,Away,L,0,1,Chelsea,0,13,2,15.4,0,0,,,0,0,,,,,,Match Report
30/09/2023,12:30,Premier League,Matchweek 7,Sat,Away,L,1,6,Aston Villa,1.7,1.6,61,"40,636",Lewis Dunk,4-2-3-1,4-2-3-1,Andy Madley,Match Report,,30/09/2023,12:30,Premier League,Matchweek 7,Sat,Away,L,1,6,Aston Villa,1,11,3,27.3,0.09,0.33,15.4,0,0,0,1.7,1.7,0.16,-0.7,-0.7,Match Report
05/10/2023,18:45†(17:45),Europa Lg,Group stage,Thu,Away,D,2,2,fr†Marseille,2.4,1.3,54,"63,465",Lewis Dunk,4-2-3-1,4-3-3,Mykola Balakin,Match Report,,05/10/2023,18:45†(17:45),Europa Lg,Group stage,Thu,Away,D,2,2,fr†Marseille,2,13,4,30.8,0.08,0.25,15.7,1,1,1,2.4,1.8,0.14,-0.4,-0.8,Match Report
