Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
12/08/2023,15:00,Premier League,Matchweek 1,Sat,Home,D,1,1,West Ham,1.3,1.1,62,"11,245",Neto,4-2-3-1,4-2-3-1,Peter Bankes,Match Report,,12/08/2023,15:00,Premier League,Matchweek 1,Sat,Home,D,1,1,West Ham,1,14,5,35.7,0.07,0.2,20.7,1,0,0,1.3,1.3,0.1,-0.3,-0.3,Match Report
19/08/2023,15:00,Premier League,Matchweek 2,Sat,Away,L,1,3,Liverpool,1.3,3,36,"53,145",Neto,4-2-3-1,4-3-3,Thomas Bramall,Match Report,,19/08/2023,15:00,Premier League,Matchweek 2,Sat,Away,L,1,3,Liverpool,1,13,5,38.5,0.08,0.2,19.7,1,0,0,1.3,1.3,0.1,-0.3,-0.3,Match Report
26/08/2023,12:30,Premier League,Matchweek 3,Sat,Home,L,0,2,Tottenham,0.7,2.1,44,"10,567",Neto,4-2-3-1,4-2-3-1,Tim Robinson,Match Report,,26/08/2023,12:30,Premier League,Matchweek 3,Sat,Home,L,0,2,Tottenham,0,11,3,27.3,0,0,17.8,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Match Report
29/08/2023,19:30,EFL Cup,Second round,Tue,Away,W,3,2,Swansea City,,,57,"8,785",David Brooks,4-2-3-1,5-3-2,Matt Donohue,Match Report,,29/08/2023,19:30,EFL Cup,Second round,Tue,Away,W,3,2,Swansea City,3,21,8,38.1,0.14,0.38,,,0,0,,,,,,Match Report
02/09/2023,15:00,Premier League,Matchweek 4,Sat,Away,D,2,2,Brentford,2.1,2.9,40,"16,973",Neto,4-2-3-1,4-3-3,Robert Madley,Match Report,,02/09/2023,15:00,Premier League,Matchweek 4,Sat,Away,D,2,2,Brentford,2,12,5,41.7,0.17,0.4,15.1,0,0,0,2.1,2.1,0.17,-0.1,-0.1,Match Report
17/09/2023,14:00,Premier League,Matchweek 5,Sun,Home,D,0,0,Chelsea,1,1.8,36,"10,421",Neto,4-2-3-1,4-2-3-1,David Coote,Match Report,,17/09/2023,14:00,Premier League,Matchweek 5,Sun,Home,D,0,0,Chelsea,0,13,4,30.8,0,0,16.7,1,0,0,1,1,0.08,-1,-1,Match Report
24/09/2023,14:00,Premier League,Matchweek 6,Sun,Away,L,1,3,Brighton,1.1,1.9,39,"31,617",Neto,4-2-3-1,4-2-3-1,John Brooks,Match Report,,24/09/2023,14:00,Premier League,Matchweek 6,Sun,Away,L,1,3,Brighton,1,12,3,25,0.08,0.33,17.6,1,0,0,1.1,1.1,0.1,-0.1,-0.1,Match Report
27/09/2023,19:45,EFL Cup,Third round,Wed,Home,W,2,0,Stoke City,,,54,"10,282",Adam Smith,4-2-3-1,4-2-3-1,Graham Scott,Match Report,,27/09/2023,19:45,EFL Cup,Third round,Wed,Home,W,2,0,Stoke City,2,14,6,42.9,0.14,0.33,,,0,0,,,,,,Match Report
30/09/2023,15:00,Premier League,Matchweek 7,Sat,Home,L,0,4,Arsenal,0.6,3.4,43,"11,193",Neto,4-2-3-1,4-3-3,Michael Salisbury,Match Report,,30/09/2023,15:00,Premier League,Matchweek 7,Sat,Home,L,0,4,Arsenal,0,8,1,12.5,0,0,14.1,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Match Report
07/10/2023,15:00,Premier League,Matchweek 8,Sat,Away,L,0,3,Everton,0.7,2.4,52,"38,815",Neto,4-2-3-1,4-4-1-1,David Coote,Match Report,,07/10/2023,15:00,Premier League,Matchweek 8,Sat,Away,L,0,3,Everton,0,11,3,27.3,0,0,16.2,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Match Report
21/10/2023,15:00,Premier League,Matchweek 9,Sat,Home,L,1,2,Wolves,0.6,2.4,35,"11,175",Neto,4-2-3-1,3-4-3,Paul Tierney,Match Report,,21/10/2023,15:00,Premier League,Matchweek 9,Sat,Home,L,1,2,Wolves,1,7,4,57.1,0.14,0.25,17.1,0,0,0,0.6,0.6,0.09,0.4,0.4,Match Report
28/10/2023,15:00,Premier League,Matchweek 10,Sat,Home,W,2,1,Burnley,1.1,0.8,45,"11,152",Lloyd Kelly,4-2-3-1,4-3-3,Samuel Barrott,Match Report,,28/10/2023,15:00,Premier League,Matchweek 10,Sat,Home,W,2,1,Burnley,2,13,6,46.2,0.15,0.33,19.5,2,0,0,1.1,1.1,0.09,0.9,0.9,Match Report
01/11/2023,19:45,EFL Cup,Fourth round,Wed,Home,L,1,2,Liverpool,,,33,"11,116",Adam Smith,4-2-3-1,4-3-3,John Brooks,Match Report,,01/11/2023,19:45,EFL Cup,Fourth round,Wed,Home,L,1,2,Liverpool,1,16,6,37.5,0.06,0.17,,,0,0,,,,,,Match Report
04/11/2023,15:00,Premier League,Matchweek 11,Sat,Away,L,1,6,Manchester City,0.9,1.9,35,"53,358",Lloyd Kelly,5-4-1,3-4-3,Craig Pawson,Match Report,,04/11/2023,15:00,Premier League,Matchweek 11,Sat,Away,L,1,6,Manchester City,1,5,1,20,0.2,1,11.4,0,0,0,0.9,0.9,0.18,0.1,0.1,Match Report
11/11/2023,17:30,Premier League,Matchweek 12,Sat,Home,W,2,0,Newcastle Utd,2.4,0.5,48,"11,201",Neto,4-2-3-1,4-3-3,Chris Kavanagh,Match Report,,11/11/2023,17:30,Premier League,Matchweek 12,Sat,Home,W,2,0,Newcastle Utd,2,19,10,52.6,0.11,0.2,14.9,0,0,0,2.4,2.4,0.13,-0.4,-0.4,Match Report
25/11/2023,15:00,Premier League,Matchweek 13,Sat,Away,W,3,1,Sheffield Utd,2.9,0.8,54,"30,208",Neto,4-2-3-1,3-4-3,Andy Madley,Match Report,,25/11/2023,15:00,Premier League,Matchweek 13,Sat,Away,W,3,1,Sheffield Utd,3,23,11,47.8,0.13,0.27,15.7,0,0,0,2.9,2.9,0.13,0.1,0.1,Match Report
03/12/2023,14:00,Premier League,Matchweek 14,Sun,Home,D,2,2,Aston Villa,2,0.7,38,"11,191",Neto,4-2-3-1,4-4-2,Thomas Bramall,Match Report,,03/12/2023,14:00,Premier League,Matchweek 14,Sun,Home,D,2,2,Aston Villa,2,15,7,46.7,0.13,0.29,13.6,0,0,0,2,2,0.13,0,0,Match Report
06/12/2023,19:30,Premier League,Matchweek 15,Wed,Away,W,2,0,Crystal Palace,1.8,1,41,"25,078",Neto,4-2-3-1,4-2-3-1,Craig Pawson,Match Report,,06/12/2023,19:30,Premier League,Matchweek 15,Wed,Away,W,2,0,Crystal Palace,2,11,4,36.4,0.18,0.5,11.5,0,0,0,1.8,1.8,0.17,0.2,0.2,Match Report
09/12/2023,15:00,Premier League,Matchweek 16,Sat,Away,W,3,0,Manchester Utd,1.5,1.1,32,"73,427",Neto,4-2-3-1,4-2-3-1,Peter Bankes,Match Report,,09/12/2023,15:00,Premier League,Matchweek 16,Sat,Away,W,3,0,Manchester Utd,3,10,4,40,0.3,0.75,12.7,0,0,0,1.5,1.5,0.15,1.5,1.5,Match Report
23/12/2023,15:00,Premier League,Matchweek 18,Sat,Away,W,3,2,Nott'ham Forest,1.6,1,66,"29,188",Neto,4-2-3-1,4-2-3-1,Robert Jones,Match Report,,23/12/2023,15:00,Premier League,Matchweek 18,Sat,Away,W,3,2,Nott'ham Forest,3,18,6,33.3,0.17,0.5,15.9,1,0,0,1.6,1.6,0.09,1.4,1.4,Match Report
26/12/2023,15:00,Premier League,Matchweek 19,Tue,Home,W,3,0,Fulham,1.8,0.3,43,"11,099",Neto,4-2-3-1,4-2-3-1,Tim Robinson,Match Report,,26/12/2023,15:00,Premier League,Matchweek 19,Tue,Home,W,3,0,Fulham,3,15,3,20,0.13,0.67,18.5,0,1,1,1.8,1,0.07,1.2,1,Match Report
31/12/2023,14:00,Premier League,Matchweek 20,Sun,Away,L,1,3,Tottenham,1.7,2.3,50,"61,780",Neto,4-2-3-1,4-3-3,Simon Hooper,Match Report,,31/12/2023,14:00,Premier League,Matchweek 20,Sun,Away,L,1,3,Tottenham,1,24,4,16.7,0.04,0.25,17.2,1,0,0,1.7,1.7,0.07,-0.7,-0.7,Match Report
06/01/2024,15:00,FA Cup,Third round proper,Sat,Away,W,3,2,QPR,,,63,"10,725",David Brooks,4-2-3-1,4-3-3,Rebecca Welch,Match Report,,06/01/2024,15:00,FA Cup,Third round proper,Sat,Away,W,3,2,QPR,3,22,8,36.4,0.14,0.38,,,0,0,,,,,,Match Report
21/01/2024,16:30,Premier League,Matchweek 21,Sun,Home,L,0,4,Liverpool,1.4,1.5,40,"11,228",Neto,4-2-3-1,4-3-3,Andy Madley,Match Report,,21/01/2024,16:30,Premier League,Matchweek 21,Sun,Home,L,0,4,Liverpool,0,11,1,9.1,0,0,19.8,0,0,0,1.4,1.4,0.12,-1.4,-1.4,Match Report
25/01/2024,19:45,FA Cup,Fourth round proper,Thu,Home,W,5,0,Swansea City,,,54,"10,166",David Brooks,4-2-3-1,3-4-3,Darren England,Match Report,,25/01/2024,19:45,FA Cup,Fourth round proper,Thu,Home,W,5,0,Swansea City,5,19,5,26.3,0.26,1,,,0,0,,,,,,Match Report
01/02/2024,19:30,Premier League,Matchweek 22,Thu,Away,D,1,1,West Ham,1.2,1.4,52,"62,478",Neto,4-2-3-1,4-3-2-1,Tim Robinson,Match Report,,01/02/2024,19:30,Premier League,Matchweek 22,Thu,Away,D,1,1,West Ham,1,9,4,44.4,0.11,0.25,17.2,0,0,0,1.2,1.2,0.13,-0.2,-0.2,Match Report
04/02/2024,14:00,Premier League,Matchweek 23,Sun,Home,D,1,1,Nott'ham Forest,1.3,0.5,45,"11,200",Neto,4-2-3-1,4-2-3-1,Rebecca Welch,Match Report,,04/02/2024,14:00,Premier League,Matchweek 23,Sun,Home,D,1,1,Nott'ham Forest,1,9,1,11.1,0.11,1,16.7,1,0,0,1.3,1.3,0.17,-0.3,-0.3,Match Report
10/02/2024,15:00,Premier League,Matchweek 24,Sat,Away,L,1,3,Fulham,1.8,1.6,51,"24,271",Neto,4-2-3-1,4-2-3-1,Darren England,Match Report,,10/02/2024,15:00,Premier League,Matchweek 24,Sat,Away,L,1,3,Fulham,1,25,4,16,0.04,0.25,16.7,1,0,0,1.8,1.8,0.07,-0.8,-0.8,Match Report
17/02/2024,15:00,Premier League,Matchweek 25,Sat,Away,D,2,2,Newcastle Utd,2.2,2.2,38,"52,224",Neto,4-2-3-1,4-3-3,Michael Salisbury,Match Report,,17/02/2024,15:00,Premier League,Matchweek 25,Sat,Away,D,2,2,Newcastle Utd,2,12,6,50,0.17,0.33,20.3,0,0,0,2.2,2.2,0.18,-0.2,-0.2,Match Report
24/02/2024,17:30,Premier League,Matchweek 26,Sat,Home,L,0,1,Manchester City,0.9,1.6,38,"11,184",Neto,4-2-3-1,3-2-4-1,Jarred Gillett,Match Report,,24/02/2024,17:30,Premier League,Matchweek 26,Sat,Home,L,0,1,Manchester City,0,13,4,30.8,0,0,17.1,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Match Report
27/02/2024,19:30,FA Cup,Fifth round proper,Tue,Home,L,0,1,Leicester City,,,49,"10,872",Adam Smith,4-2-3-1,4-3-3,Paul Tierney,Match Report,Required Extra Time,27/02/2024,19:30,FA Cup,Fifth round proper,Tue,Home,L,0,1,Leicester City,0,27,4,14.8,0,0,,,0,0,,,,,,Match Report
03/03/2024,13:00,Premier League,Matchweek 27,Sun,Away,W,2,0,Burnley,1.1,1.5,26,"19,713",Neto,4-2-3-1,4-4-2,David Coote,Match Report,,03/03/2024,13:00,Premier League,Matchweek 27,Sun,Away,W,2,0,Burnley,2,10,3,30,0.2,0.67,15.1,1,0,0,1.1,1.1,0.11,0.9,0.9,Match Report
09/03/2024,15:00,Premier League,Matchweek 28,Sat,Home,D,2,2,Sheffield Utd,3.3,1.2,69,"11,074",Neto,4-2-3-1,3-5-2,Anthony Taylor,Match Report,,09/03/2024,15:00,Premier League,Matchweek 28,Sat,Home,D,2,2,Sheffield Utd,2,31,11,35.5,0.06,0.18,16.9,0,0,1,3.3,2.6,0.08,-1.3,-0.6,Match Report
13/03/2024,19:30,Premier League,Matchweek 17,Wed,Home,W,4,3,Luton Town,2.3,2,59,"11,198",Neto,4-2-3-1,3-4-3,Samuel Allison,Match Report,,13/03/2024,19:30,Premier League,Matchweek 17,Wed,Home,W,4,3,Luton Town,4,24,9,37.5,0.17,0.44,15.5,0,0,0,2.3,2.3,0.1,1.7,1.7,Match Report
30/03/2024,15:00,Premier League,Matchweek 30,Sat,Home,W,2,1,Everton,1.3,1,48,"11,207",Neto,4-2-3-1,4-4-1-1,Samuel Barrott,Match Report,,30/03/2024,15:00,Premier League,Matchweek 30,Sat,Home,W,2,1,Everton,1,11,4,36.4,0.09,0.25,15.6,1,0,0,1.3,1.3,0.12,-0.3,-0.3,Match Report
02/04/2024,19:45,Premier League,Matchweek 31,Tue,Home,W,1,0,Crystal Palace,1.1,0.2,50,"11,058",Neto,4-3-3,3-4-3,Graham Scott,Match Report,,02/04/2024,19:45,Premier League,Matchweek 31,Tue,Home,W,1,0,Crystal Palace,1,11,6,54.5,0.09,0.17,18.7,2,0,0,1.1,1.1,0.1,-0.1,-0.1,Match Report
06/04/2024,15:00,Premier League,Matchweek 32,Sat,Away,L,1,2,Luton Town,0.4,1.5,45,"11,797",Neto,4-2-3-1,3-4-3,Andy Madley,Match Report,,06/04/2024,15:00,Premier League,Matchweek 32,Sat,Away,L,1,2,Luton Town,1,8,1,12.5,0.13,1,19.1,1,0,0,0.4,0.4,0.05,0.6,0.6,Match Report
13/04/2024,17:30,Premier League,Matchweek 33,Sat,Home,D,2,2,Manchester Utd,1.6,1.2,43,"11,229",Neto,4-2-3-1,4-2-3-1,Tony Harrington,Match Report,,13/04/2024,17:30,Premier League,Matchweek 33,Sat,Home,D,2,2,Manchester Utd,2,20,5,25,0.1,0.4,16.8,1,0,0,1.6,1.6,0.09,0.4,0.4,Match Report
