Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
12/08/2023,15:00,Premier League,Matchweek 1,Sat,Home,L,0,1,Fulham,2.7,1.5,42,"39,940",James Tarkowski,4-4-1-1,4-3-3,Stuart Attwell,Match Report,,12/08/2023,15:00,Premier League,Matchweek 1,Sat,Home,L,0,1,Fulham,0,19,9,47.4,0,0,15.8,0,0,0,2.7,2.7,0.14,-2.7,-2.7,Match Report
20/08/2023,14:00,Premier League,Matchweek 2,Sun,Away,L,0,4,Aston Villa,0.6,2.9,40,"41,694",James Tarkowski,4-1-4-1,4-2-3-1,Anthony Taylor,Match Report,,20/08/2023,14:00,Premier League,Matchweek 2,Sun,Away,L,0,4,Aston Villa,0,9,2,22.2,0,0,14.7,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Match Report
26/08/2023,15:00,Premier League,Matchweek 3,Sat,Home,L,0,1,Wolves,1.3,1.1,47,"38,851",James Tarkowski,4-1-4-1,4-4-1-1,Craig Pawson,Match Report,,26/08/2023,15:00,Premier League,Matchweek 3,Sat,Home,L,0,1,Wolves,0,15,7,46.7,0,0,13.8,0,0,0,1.3,1.3,0.09,-1.3,-1.3,Match Report
30/08/2023,20:00,EFL Cup,Second round,Wed,Away,W,2,1,Doncaster,,,59,"11,430",Jordan Pickford,4-1-3-2,3-4-1-2,Tom Reeves,Match Report,,30/08/2023,20:00,EFL Cup,Second round,Wed,Away,W,2,1,Doncaster,2,14,5,35.7,0.14,0.4,,,0,0,,,,,,Match Report
02/09/2023,12:30,Premier League,Matchweek 4,Sat,Away,D,2,2,Sheffield Utd,2.5,1.2,54,"31,124",James Tarkowski,4-4-1-1,3-5-2,Andy Madley,Match Report,,02/09/2023,12:30,Premier League,Matchweek 4,Sat,Away,D,2,2,Sheffield Utd,2,16,6,37.5,0.13,0.33,14.8,2,0,0,2.5,2.5,0.21,-0.5,-0.5,Match Report
17/09/2023,16:30,Premier League,Matchweek 5,Sun,Home,L,0,1,Arsenal,0.3,1,26,"39,217",James Tarkowski,4-5-1,4-3-3,Simon Hooper,Match Report,,17/09/2023,16:30,Premier League,Matchweek 5,Sun,Home,L,0,1,Arsenal,0,8,1,12.5,0,0,21.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Match Report
23/09/2023,17:30,Premier League,Matchweek 6,Sat,Away,W,3,1,Brentford,1.9,1,43,"16,981",James Tarkowski,4-4-1-1,4-3-3,Michael Oliver,Match Report,,23/09/2023,17:30,Premier League,Matchweek 6,Sat,Away,W,3,1,Brentford,3,18,6,33.3,0.17,0.5,17.8,0,0,0,1.9,1.9,0.11,1.1,1.1,Match Report
27/09/2023,19:45,EFL Cup,Third round,Wed,Away,W,2,1,Aston Villa,,,32,"23,851",James Tarkowski,3-4-3,4-2-3-1,Tony Harrington,Match Report,,27/09/2023,19:45,EFL Cup,Third round,Wed,Away,W,2,1,Aston Villa,2,13,4,30.8,0.15,0.5,,,0,0,,,,,,Match Report
30/09/2023,15:00,Premier League,Matchweek 7,Sat,Home,L,1,2,Luton Town,2.9,0.9,67,"39,289",James Tarkowski,4-4-1-1,3-4-3,Anthony Taylor,Match Report,,30/09/2023,15:00,Premier League,Matchweek 7,Sat,Home,L,1,2,Luton Town,1,23,4,17.4,0.04,0.25,14.4,0,0,0,2.9,2.9,0.16,-1.9,-1.9,Match Report
07/10/2023,15:00,Premier League,Matchweek 8,Sat,Home,W,3,0,Bournemouth,2.4,0.7,48,"38,815",James Tarkowski,4-4-1-1,4-2-3-1,David Coote,Match Report,,07/10/2023,15:00,Premier League,Matchweek 8,Sat,Home,W,3,0,Bournemouth,3,25,8,32,0.12,0.38,15.8,0,0,0,2.4,2.4,0.1,0.6,0.6,Match Report
