Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
12/08/2023,15:00,Premier League,Matchweek 1,Sat,Away,L,1,4,Brighton,1.5,4,30,"31,872",Tom Lockyer,3-5-2,4-2-3-1,David Coote,Match Report,,12/08/2023,15:00,Premier League,Matchweek 1,Sat,Away,L,1,4,Brighton,1,8,2,25,0,0,16.6,0,1,1,1.5,0.7,0.09,-0.5,-0.7,Match Report
25/08/2023,20:00,Premier League,Matchweek 3,Fri,Away,L,0,3,Chelsea,0.4,2.2,33,"39,893",Tom Lockyer,5-3-2,3-4-3,Robert Jones,Match Report,,25/08/2023,20:00,Premier League,Matchweek 3,Fri,Away,L,0,3,Chelsea,0,11,1,9.1,0,0,19,1,0,0,0.4,0.4,0.04,-0.4,-0.4,Match Report
29/08/2023,19:45,EFL Cup,Second round,Tue,Home,W,3,2,Gillingham,,,62,"9,468",Tom Lockyer,3-4-3,5-4-1,Jeremy Simpson,Match Report,,29/08/2023,19:45,EFL Cup,Second round,Tue,Home,W,3,2,Gillingham,3,13,6,46.2,0.23,0.5,,,0,0,,,,,,Match Report
01/09/2023,20:00,Premier League,Matchweek 4,Fri,Home,L,1,2,West Ham,1.4,1,39,"10,802",Carlton Morris,5-3-2,4-2-3-1,Paul Tierney,Match Report,,01/09/2023,20:00,Premier League,Matchweek 4,Fri,Home,L,1,2,West Ham,1,16,1,6.3,0.06,1,11.9,0,0,0,1.4,1.4,0.09,-0.4,-0.4,Match Report
16/09/2023,15:00,Premier League,Matchweek 5,Sat,Away,L,0,1,Fulham,1.1,1,23,"24,467",Tom Lockyer,5-3-2,4-3-3,Michael Salisbury,Match Report,,16/09/2023,15:00,Premier League,Matchweek 5,Sat,Away,L,0,1,Fulham,0,7,2,28.6,0,0,10,0,0,0,1.1,1.1,0.16,-1.1,-1.1,Match Report
23/09/2023,15:00,Premier League,Matchweek 6,Sat,Home,D,1,1,Wolves,2.1,0.6,57,"10,893",Tom Lockyer,3-4-3,4-2-3-1,Joshua Smith,Match Report,,23/09/2023,15:00,Premier League,Matchweek 6,Sat,Home,D,1,1,Wolves,1,19,3,15.8,0,0,17.3,0,1,1,2.1,1.4,0.07,-1.1,-1.4,Match Report
26/09/2023,19:45,EFL Cup,Third round,Tue,Away,L,0,1,Exeter City,,,67,"7,360",Pelly Ruddock Mpanzu,3-5-2,5-4-1,James Bell,Match Report,,26/09/2023,19:45,EFL Cup,Third round,Tue,Away,L,0,1,Exeter City,0,12,3,25,0,0,,,0,0,,,,,,Match Report
30/09/2023,15:00,Premier League,Matchweek 7,Sat,Away,W,2,1,Everton,0.9,2.9,33,"39,289",Tom Lockyer,3-4-3,4-4-1-1,Anthony Taylor,Match Report,,30/09/2023,15:00,Premier League,Matchweek 7,Sat,Away,W,2,1,Everton,2,9,2,22.2,0.22,1,13.4,0,0,0,0.9,0.9,0.1,1.1,1.1,Match Report
03/10/2023,19:30,Premier League,Matchweek 2,Tue,Home,L,1,2,Burnley,1.3,1.1,49,"10,918",Tom Lockyer,3-4-3,4-3-3,Peter Bankes,Match Report,,03/10/2023,19:30,Premier League,Matchweek 2,Tue,Home,L,1,2,Burnley,1,18,2,11.1,0.06,0.5,13.1,0,0,0,1.3,1.3,0.07,-0.3,-0.3,Match Report
07/10/2023,12:30,Premier League,Matchweek 8,Sat,Home,L,0,1,Tottenham,0.8,1.9,34,"10,290",Tom Lockyer,4-4-2,4-2-3-1,John Brooks,Match Report,,07/10/2023,12:30,Premier League,Matchweek 8,Sat,Home,L,0,1,Tottenham,0,12,2,16.7,0,0,16.3,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Match Report
21/10/2023,15:00,Premier League,Matchweek 9,Sat,Away,D,2,2,Nott'ham Forest,1.7,2.9,43,"29,361",Tom Lockyer,4-4-2,4-3-3,Samuel Barrott,Match Report,,21/10/2023,15:00,Premier League,Matchweek 9,Sat,Away,D,2,2,Nott'ham Forest,2,13,4,30.8,0.15,0.5,17.6,0,0,0,1.7,1.7,0.13,0.3,0.3,Match Report
