Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
11/08/2023,20:00,Premier League,Matchweek 1,Fri,Home,L,0,3,Manchester City,0.3,1.9,35,"21,572",Josh Cullen,5-4-1,4-2-3-1,Craig Pawson,Match Report,,11/08/2023,20:00,Premier League,Matchweek 1,Fri,Home,L,0,3,Manchester City,0,6,1,16.7,0,0,14.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Match Report
27/08/2023,14:00,Premier League,Matchweek 3,Sun,Home,L,1,3,Aston Villa,0.7,2.5,57,"21,591",Josh Cullen,4-4-2,3-4-3,Michael Salisbury,Match Report,,27/08/2023,14:00,Premier League,Matchweek 3,Sun,Home,L,1,3,Aston Villa,1,9,2,22.2,0.11,0.5,17.7,0,0,0,0.7,0.7,0.08,0.3,0.3,Match Report
30/08/2023,19:45,EFL Cup,Second round,Wed,Away,W,1,0,Nott'ham Forest,,,60,"27,766",Josh Brownhill,4-3-3,5-3-2,Robert Madley,Match Report,,30/08/2023,19:45,EFL Cup,Second round,Wed,Away,W,1,0,Nott'ham Forest,1,10,2,20,0.1,0.5,,,0,0,,,,,,Match Report
02/09/2023,15:00,Premier League,Matchweek 4,Sat,Home,L,2,5,Tottenham,1.3,2.2,47,"21,750",Josh Cullen,4-4-2,4-2-3-1,Darren England,Match Report,,02/09/2023,15:00,Premier League,Matchweek 4,Sat,Home,L,2,5,Tottenham,2,16,4,25,0.13,0.5,17.9,1,0,0,1.3,1.3,0.08,0.7,0.7,Match Report
18/09/2023,19:45,Premier League,Matchweek 5,Mon,Away,D,1,1,Nott'ham Forest,0.5,0.7,54,"28,958",Josh Brownhill,4-2-3-1,4-2-3-1,Robert Jones,Match Report,,18/09/2023,19:45,Premier League,Matchweek 5,Mon,Away,D,1,1,Nott'ham Forest,1,10,3,30,0.1,0.33,18.9,0,0,0,0.5,0.5,0.06,0.5,0.5,Match Report
23/09/2023,20:00,Premier League,Matchweek 6,Sat,Home,L,0,1,Manchester Utd,1.1,1,61,"21,593",Josh Brownhill,4-3-3,4-2-3-1,Tony Harrington,Match Report,,23/09/2023,20:00,Premier League,Matchweek 6,Sat,Home,L,0,1,Manchester Utd,0,12,4,33.3,0,0,15.6,0,0,0,1.1,1.1,0.09,-1.1,-1.1,Match Report
26/09/2023,19:45,EFL Cup,Third round,Tue,Away,W,4,0,Salford City,,,66,"3,305",Jack Cork,4-1-4-1,4-3-3,Anthony Backhouse,Match Report,,26/09/2023,19:45,EFL Cup,Third round,Tue,Away,W,4,0,Salford City,4,16,8,50,0.25,0.5,,,0,0,,,,,,Match Report
30/09/2023,15:00,Premier League,Matchweek 7,Sat,Away,L,0,2,Newcastle Utd,0.6,3.1,47,"51,687",Josh Brownhill,4-2-3-1,4-3-3,Thomas Bramall,Match Report,,30/09/2023,15:00,Premier League,Matchweek 7,Sat,Away,L,0,2,Newcastle Utd,0,8,2,25,0,0,16.3,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Match Report
03/10/2023,19:30,Premier League,Matchweek 2,Tue,Away,W,2,1,Luton Town,1.1,1.3,51,"10,918",Josh Brownhill,4-3-3,3-4-3,Peter Bankes,Match Report,,03/10/2023,19:30,Premier League,Matchweek 2,Tue,Away,W,2,1,Luton Town,2,14,4,28.6,0.14,0.5,20.2,0,0,0,1.1,1.1,0.08,0.9,0.9,Match Report
07/10/2023,15:00,Premier League,Matchweek 8,Sat,Home,L,1,4,Chelsea,0.7,1.9,38,"21,654",Josh Brownhill,4-3-3,4-3-3,Stuart Attwell,Match Report,,07/10/2023,15:00,Premier League,Matchweek 8,Sat,Home,L,1,4,Chelsea,1,10,3,30,0.1,0.33,18.2,1,0,0,0.7,0.7,0.08,0.3,0.3,Match Report
